Runyoro,English
to embrance,Fumbata/ kutangira
to clasp,Fumbatiza
to be pierced through,Fumuka
"to pierce, bore",Fumura
"to be narrow, confined",Funda
uncover,Fundura/ kuzozora
to fasten (e.g. button),Sumura
to hold up (clothes),Fungiirra
to be djluted,Funguka
to dilute,Funrungura
"to disparage, run down",Furafura
emigration,Furuka
to say God forbid,Nikikacenwe
carelessly,Faafa
jack fruit,Fene
completely full,Fiifiifi
school fees,Fiizi
form,Foomu
free wheel,Furuweero
brown cow,Gaaju
train,Gaali w'omwika
to flatten dead meat,Gaasa
pith of papyrus,Gaasi
to marry,Gabura
to torment,Gadrsa
crested eagle,Gabiiraba
"to become wide, widen",Galiba
"wide, thick",Galihire
to open wide,Galika
"to speak, say",Gamba
to tell one another,Gambirana
to talk nonsense,Gambisibwa
to sing tales,Gana
(pf. -gangahize),Gangakya
to have celebro-spinal-meningitis,Gangama
"to treat cruelly, torture",Gangisa
"to beat, flog",Gangura
tell stories,Ganikya
be in favour,Ganja
to cause grief,Ganyisa
throw the head back,Garaamiirra
"to clash together, clatter",Garangatana
to return; as auxiliary,Garuka
"answer, reply, do again",Garukamu
to do over again,Garuliza
small tiger-fish,Gasa
tomb of King,Gasani
to despise,Gaya
"to dawdle, loiter",Gayaara
to widen,Gazihya
to immunize,Gema
to shave,Gemba
"to go,depart, walk",Genda
"make to go, drive",Gendesa
"to frown, be wrinkled",Genya
"ooze, trickle",Gereerra
"to reap, harvest",Gesa
to become wise,Gczihara
"to do, act etc",Gira
to cause to do,Giza
"to defraud, betray",Gobeza
to double one's profit,Goboorra
to act hypocritically,Gobya
to bend curve,Goda
to walk with difficulty,Godya
talk through the nose,Gogoro
"to snore, purr",Gona
to make to love,Gondesa
to dance vigorously,Gondora
to strip,Gongoorra
"to love, prefer",Gonza
golf,Goofu
"to maim, damage, disparage",Goora
goal,Gooro
terminate,Gooroobya
to decline (sun),Gorooba
to mount,Gosa/ kwenya
to be very grubby,Guba
to gnaw,Guguna
to fetch (fire),Kusenya
to gobble,Gujura
to be piled up,Gulika
remove a spell,Gulikuurrra
to sell for another,Guliza
barren,Gu mba
constipation,Gumirirwa
"tema gunguru, utter,slander about",Gunguru
"to be doubtful,waver, hesitate",Gurukyagurukya
to go all together,Gurumbuka
to grow old (people),Gurusa
old males,Gurusi
"to be splintered, chipped",Gusuka
to fall,Gwa
to become immoral,Gwaga
to be filthy immoral,Gwagwahara
to be susceptible,Gwerekererwa
to take on board,Gwereza
to behave fool ishly,Gwija
to sleep,Gwijagira
to take by surprise,Gwisaniza
to go,Genda
with energy,Gai gai
"spectacles, sun glasses",Gaarubindi
use your knowledge wisley,Gafabusa
plantain,Gonja
all of them,Goona
short,Gufu
"big, large",Gundu
"it, itself, in itself",Gwo
"probably, may be, from",Gwomwa
"all, all of it",Gwona
"to steal, rob",Iba
husband,Iba
"stone,school slate",Ibaale
leaf,Ibabi/ekikora
their husband,Ibabo
your husband,Ibainywe
our husband,Ibartwe
carpenter's shop,Ibaiziro
debt,Ibanja
my husband,Ibanyowe
"name, spot",Ibara
font,Ibatirizo
hump,Ibbango
kestrel,Ibebe
sub county see Egomboorra,Ibohoorra
;potter 's clay,Ibumba
"be astonished, great surprise",Ibumbakanwa
", a verse",Ibwa
"pain in bones, rheumatism",Iceeoyo
"cook house,.lcitcheo",Icumbiro
spear,Icumu
pleat,Idinda
window,Idirisa
cape tomato,Idodoima
; hemp seed;something tinny,Iduli
see amadwidwi,Idwidwi
down,Ifo
"swelling, abscess",Ifumbi
swelling in the groin,Ifunza
"froth, foam, lather",Ifuro
make rain,Iga
"to press, massage",Igata
; to press hard,Igatira
"harvest, reaping-time",Igesa
testicle,Igosi
bone,Igufa
"disobedience, self-will",Igundu
"to open, unstop",Igura
"sky, heaven",Iguru
to satify (with food),Igusa
a dance,Rguurya
beat King's big drum,Iguurra
"see eduuka, shop",Iguurro
"envy, jealousy, enmity, malice",Ibali
solitude,Ihamba
"nation,distant country",Ihanga
noon,Ibangwe
"wonder, marvel omen",Ihano
girlhood,Ihara
odour of wild animals,Iharaazima
boneyard,Iharamango
;odour of the body,Ihaya
"army, host. company, troop",Ibe
;greedy longing for food,Iheehe
"forge, smithy",Ibeesero
; horn; syphilitic swelling,Ihembe
cooking stone,Ihiga
brewery,Ihusizo
time for grindjng simsim,Ihonda
place of sacrifice,Ihongero
empty house,Iboojo
a very beautiful thing,Ihunde
"storm, tempest, gale",Ihunga
"wand,blacksmith's sprinkler (isiza)",Ibungyo
white stripe,Ihuuga
"thorn,prickle",Ihwa
whetstone,Ibyoro
dance of divine,Ijanja
yesterday,Ijo
ashes,Iju
bell,Ijugo
"remember, recollect, recall",Ijuka
to remind,Ijukya
to fill,Ijuza
"cunning, slyness,irony",Ikaali
to sit down,Ucaarra
"toremain, stay, delay",Rkara
live or work together,Ikarana
grapes,Ikeerre
a slight squint,Ikengi
groaning state,Ikenyera
agree unarumously,Ikilrraaniza
"dirt, filth (of body)",Iko
wide iron leg ornament,Ikoita
pomegranate,Ikomamabanga
lick; a thorny creeper,Ikomba
trumpet,Ikondere
long thorn of omukongora,Ikongoro
a place of conference,Ikuratiro
trampled-down place,Ikurugutiirro
"a made road,street",Ikuute
"openly, fearlessly (of speaking)",Ikwenu
"to respire, breathe",Ikya
"look sideways, squinty",Ikyole
prominent voice,Imiro
continue a journey,Imura
to bow down,Inama
to be very poor,Inara
to string,Ioara
to make equal,Inganiza
"many, much, abundant",Ingi
"white (china) clay, chalk",Inoni
"surliness, shunning",Inugangaine
to leave off work,Inuka
lift up your eyes(hearts),Inunura
young plantain tree sucker,Inuunu
you yourselves,Inywenka
drinking-trough,Inywero
pawpaw fruit,Ipaapaali
wing,Ipapa
guava,Ipeera
button,Ipeesa
"keg, barrel, cask",Ipipa
to grow dark,Ira
"to be black, dirty",Iragura
"clinic, divination center",Iraguurro
"to blacken, dirten",Iraguza
squint,Irali
"level place, plateau",Irambi
place of worship,Iramizo
lily,Iranga
madness,Iraro
water-lily,Irebe
gateway,Irembo
whistle,Irenge
bracken,Irere
"heat, mating season",Irigi
digging season,Irima
to grow dark,Irima
fish-hook see endobo,Irobo
"charm, spell",Irogo
protruding narvel,Iromba
metal dog-bell,Ironde
form of dismissal,Irooko
trampled-down place,Irubatiirro
to run together,Kwiruka hamu
"uninhabited country, wilderness",Irungu
battle-field,Irwaniro
hospital,Irwarro
meal,Irya
to cause to kill,Isa
Archbishop,Isaabarolerezi
father to twins,Isaabarongo
place of prayer,Isabiro
grey eagle; estate,Isamba
football field,Isambiro
"to be like, resemble",Isaoa
"conjuring trick, magic",Isaoo
withered plantain leaves,Isaosa
forge,Kujingira
spark,Isasaazi
"lead, bullet,solder",Isasi
"county, province",Isaza
his or her father,Ise
their father,Isebo
their paternal aunt,Isenkatibo
your paternal aunt,Isenkatiinywe
our paternal aunt,Isenkatiitwe
my paternal aunt,Isenkadnyowe
his grandfather,Isenkuru
their grandfather,Isenkurubo
my grandfather,Isenkurooyowe
my father,Isenyowe
father-in-law,Isezaara
sheepfold,Isibiko
sowing time,Isiga
your father,Isiinywe
our father,Isiltwe
blacksmith 's sprinkler,Isiza
twin boy and girl,Isobe
hair,Isoke
jumping rat,Isomba
school,Isomero
lesson,Isomo
pelvic bone,Isonge
hip joint,Isongyo
woodcutter,Isonjoora
place of assembly,Isoroolezo
"knot, elbow (front)",Isumi
"long grass, scrub",Iswa
stool,Iswa
"to slaughter, destroy",Ita
"branch, bough",Itaagi
brick,Itafaali
earth soil,Itaka
cheek,Itama
place of sacrifice,Itambiro
"cross-roads, junctions",Itangatanganiro
"preaching-place, pulpit",Iteberezo
place where things join,Iteeranirizo
tile,Itegura
"step, stair, ladder",Itembero
speak softly drawl,Itesi
flank (of an animal),Itiiri
red- winged francolin,Itikarya
"spite, ill-will, mischief",Itima
to smoke (milk vessels),Itira
thistle,Itojo
game of guessing,Itomo
piece of charcoal,Itonde
a drop of water,Itondo
deserted place,Itongo
midnight,Itumbi
mortuary,Itumbiro
"side, flank",Itundu
"wealth, possessions, riches",Itungo
heap of soil,Ituuti
"small packet, twist",Itwe
"we, us",Itwe
all of us,Itwena
"we ourselves, by ourselves",Itwenka
"you, thee, thou",Iwe
to lower(lamp wick),Iza
"playground, playing-field",Izaaniro
gravid,Izaara
"maternity home, obstetric ward",Izaarro
"well, King's grave",Iziba
tears,Iziga
"chimpanzee, monster, ogre",Izike
island,Izinga
"come for, come upon",Izira
ring worm,Izomba
"sun, a day",Izooba
pass of,Jaaza
"to bubble, seethe",Jabagira
to be excited,Jabiza
"to be chipped, broken",Jabuka
"to walk stiffly, awkwardly",Jagajaga
"to rejoice, celebrate",Jaguza
to snatch from,Jakura
"to jabbe r, babble",Jamajama
java plum,Jambura
talk irrelevantly,Janjagurwa
"to spoil, treat carelessly",Jarabanga
to be spread about,Jaragatana
"to be moist, sodden",Jeba
being left alone,Jeebeeza
"to roam, ramble",Jeera
"to wander about, roam",Jeerajeer
to be loosely tied,Jega
to rain persistently,Jegeja
"adv., loosely",Jegejege
to totter,Jegemera
"to be talkative, gossip",Jejegurwa
to loosen,Jegya
to tell tales about,Jeija
to be slightly burnt,Jejuka
to spread rumours,Jenja
to wander about (insects),Jenjeera
to tie loosely,Jenjeka
to chatter,Jogeza
to chatter,Jogor ekana
see jol ekana,Jogolikana
"adv., lately",Juba
to get wet,Juba
to weed,Juba
to soak,Jubika
"to make wet, damp",Jubya
; to pay dowry,Juga
"to tremble, shiver",Juguma
"to moblize, shake",Jugumbya
to throw away,Jugunya
to raise one unexpectedly,Jumbutura
to scold severely,Jumbuutukira
to be responsible,Junaaoizibwa
"to smouJder, glow",Jundeera
to rescue,Junira
to gnaw at voraciously,Junjubura
to buzz,Junjumira
"to roar, hum",Junjuruma
to buzz,Junjuura
; to decline (sun),Jura
"adv., intensive with lazy",Jurru
"to be slovenly, untidy",Jurungutana
"plump, chubby (little child)",Juta
to lie prone,Juumara
to grow tired,Jwaha
to be dirty,Jwamba
"to be mixed, confused",Jwangana
; to mix togetber,Jwanganiza
to dress (another),Jwaza
"to dress, adorn",Jweka
to be hafry,Jwiga
"to grow angry, bristle",Jwigwa
too lazy,Jurujuru
grab and squeeze painfully,Jwi
small species of locusts,Kaabagangara
variety of potatoes,Kaabijwenge
old stock of beans,Kaabubuukuume
elephant's trunk,Kaako
to scratch hard,Kaakura
squirrel,Kaamuje
chillies,Kaamurali
little finger,Kaara
to be strongly flavoured,Kaarraamuka
King's house,Kaaruziika
groin(inner side),Kaasa
"chip, slice",Kaasi
little child,Kaana
but it's me,Kaninyowe
coffee drink,Kaawa
to fry,Kaayaaya
pebble,Kabaale
syphilitic rash on nose,Kabaata
leaf of a plant,Kababi
cupboard (eryahuurro),Kabada
"join. word, since",Kabandiize
"a little spot,speck",Kabara
bone under the eye,Kabba
"to be stiff, hard",Kabbabbara
foreg,Kabbinura
disease of cattle,Kaboba
dark kind of salt,Kabonde
unifier,Kabumba
a round heavy thing,Kabumbulike
early morning about 5am,Kabunduguru
syphilitic eruption,Kaberebenje
"hann, danger",Kabi
"hot spring,hot bath",Kabiga
small green caterpillar,Kabiibi
"brushwood,copse",Kabira
"adv., twice",Kabiri
"to scourge, beat bard",Kabura
commotion,Kamurangaine
"small dog, puppy",Kabwa
early morning (=akabunduguru ),Kabwibwi
restlessness,Kacamule
palmerwonn,Kacenkede
short space of time,Kacu
"small spear, pen",Kacumu
secondary syphilis,Kacuucuuka
"bog, marsh",Kadebede
slender person,Kadengede(nge)
"pail,can, tinned container",Kadobo
ankle,Kafumbarume
groin,Kafumbi
"to sniff scent, smell",Kaga
"piebald,heifer or she-goat",Kagabu
obliquely,Kagaligali
"spokesperson, Master/Mistress of ceremony",Kagambigambi
"cynism, scornfulness",Kagayangaine
small basket,Kagega
"force,compulsion",Kagemo
"small valley, dell",Kagera
sickle,Kageso
small colobus monkey,Kageye
"threads of screw, etc",Kagigira
"important, key",Kagasa
to perceive by smelling,Kagiriza
a white bean,Kagita
pork (pig meat),Kagodo/enyama hempunu
calf with white sport,Kagondo
plant with edible berries,Kagujaguja
yellow bead,Kagusuuru
cocoon of silk worm,Kagutaguta
to ask a question,Kaguza
"skull;small valley, dell,ravine",Kahanga
dysmenorrheal,Kaharo
gather up one's skirts,Kabeeka
fine impalpable dust,Kahehe
skin rash,Kahere
roho ya kulinda ng'ombe,Kagoro
slight mist,Kaho
green peas,Kaho
a painful remark,Kahondo
urinary rheatus,Kahondoorro
"badly grown, stunted child",Kahumbe
little herdsman,Kahuma
tail of a snake,Kahuuho
purple,Kahuukya
small sparrow-hawk,Kahuumizi
mottled calf,Kahuura
"grudge, grievance",Kahyemi
"small knife, lancet, penknife",Kabyo
small dove or pigeon,Kaiba
beat of the body,Kaicuube
inner room,Kaifo
species of inedible termite,Kaigaramatu
"to ripen (beans,peas)",Kaigura
favourite wife,Karhabuleju
welcome,Kaije
edible grasshoppers,Kaikarakabiire
"end of breastbone,stem cartilage",Kaimeeme
small hole,Kaina
chwezi goddess of harvest,Kaikara
type of edible grasshopper,Kaikarakahire
storeyed house,Kainaabiri
shallow hole in ground,Kainengere
tum a somersault,Kairimira
whirlwind,Kairiringwa
"twilight, dusk gloaming",Kairirizi
asparagus fem,Kaisabaisaba
