enkura	Rhinoceros
bukorungutaniza	Cunnningness, craftiness
obutiiko	Newly found
Ehuuta	To walk very fast
ebikoonora	Bull dozers
ensoboorozi	SW.someone who explains something
entuuru	A wild cat
tabatabuka	To worse, get spread (sores)
bwakeire-bwaizire	Now and then
akatambaara	Handkerchief
bunwekinweki	Flattery
bwakyo	Tinny flowers
bulebule	Completely
cumba	To cook, boil
empaka	Argument, dispute strife,
taabaana	To be over burdened with work, wander, scatter, grope, look or cry for help in vain
bihinguraniza	Something done excessivelies
fooba	To plait, interlace, tack in
ensamya	Simsim
fukaana	To wrestle
abatenzi batendeso enkindo nmdi e11duko	Abahunzi bolwndiso enkwozi, people who ornament sticks do so with leaves while those who adorn objects do so with beads
twekera	send To to, to take to, carry
atamiire amaanva g 'ebitooke; amaarwa tibagatamiirra buko	He is drunk of banana wine; People do not get drunk at the home of their in-laws
taahirirwa	Be sulky, sullen
kunyeta	To be fat
Ehingahingisa	To changeable be
amasurubbu	Whiskers
kujaakaara kw 'endwara 'omunywereerro y kurogiirra ha bantu kuhuurra kwanga ebirukwegesibwa hali yo; emibu ejaakaaza omuswija; omunywereerro gujaalcaazibwa okuteesigangana kw'abarukugonzangana	The spread of HIV/AIDS is as a result of people's disobedience in observing what is being taught about it; Mosquitoes spread malaria; The spread HlV/AIDS is due to unfaithfulness among sexual Oku- partners.
eyahukaniza	To separate oneself,exclude oneself
ekyadundu	Pouch,crop
ebika bye'njoka	Type of snakes
ebiihe	Severe famines
abaleesi b 'amaizi abamu beetweka ensoha bagitwengekeerraaho akasisi k'amaizi; otunyansi otw 'omuroguudo hagati two	Some water collectors carry water-jars on their heads together with a small calabash full of water on top of it. Two, self-standing pron. For nouns in cl. 13; Tutahye, the scanty short grass in the middle of the road did not catch fire. Tyabira,ku, oku,v.i
ekikorwa	An act
ebisinjo	uncontrolled angers
entimbure	Mixed food
esabwe	Butter sauce
efuka etweire eyorobya omulimo	A sharp hoe work easier
entangatangano	Cross-roads, junction
anyakwigamire enjura obu aba naagenda hara tagidndiirra kutoonyoroka	One who hastaken shelter from rain and bas a longjoumey to cover will not wait till it ceases
bubwite	Senility, senile, decay
tagata	To become warm
funduza	To show signs of coming out
Ebiihabiiha	To oneself
ensimbi	Money
ebifu by'ebimera biyongera orwezo mwitaka	Compost improves soil fertility
obu akaba naamara obuheereza bwe mb '0mukama akataahya enyana; t. omukazi	When he ended his service at the palace he a heifer from the King; To marry
twaliriza	To go or do carefully or slowly
teerereza	To deny, oppose, contradict
bwanyakatagara	Priesthood
ebikangi	of Thorn palm trees
teekura	To take off, remove
akamanyiso/akarorwaho	Sign
ekisaaru	A reedlike swamp grass
tahyatahya	To be undecided, waver, ramble
ebigono	Act of snorings
ekitiyo	Spade
tagaarra	To take up much space, spread out, extend
edebe	Pail,bucket
ekinyoobwa	Groundnut
bunyanzigwa	Enemity
obukiro	Small hillocks
waimiri	Nest the black tree
-ogu ataahiririrwe omwegenderezeege obu araabaga noobaza nawe	-that man is sullen, you should be careful when talking to him
enengere	Wheelbarrow
toonyoroka	To leave off (rain), get dry
ebihiba	Fresh beans
jonjogorwa	tell To what ''has happened, reveal secrets, gossip
ornubingi w'amotoka kutwalirirwa naabinga ky'akabi muno; akatwa/iririrwa ahingwire Kyegegwa	It is very dangerous for a motor driver to doze while he/she is driving; He/she dozed up after he/she had passed Kyegegwa
Nyineeka afeera aka ye'.	The house owner dies for his home
teekaana	To become calm, settled, harmonious
biriibwa	Eatables, food
bbanura	dash To down
entoijo	Freshly cow ghee
ekyekurra	A crawling thing
ebirungo	Spices
bulimi	Cultivation
twarraaniza	Root up together, give out two kinds of
enkusi	Stupid person
butagali	Weakness,thinness of the legs
buhangwa	Inherent,nature
abalimi bakozesa okusesira ebirimwa amaizi omumisiri yabo	The farmers irrigation use to water their fields
emera	Shape, appearance
entangize	Time just after sunrise
bwinike	Serfdom
kujanjaza	To be spread, furnished
ebilaya babibyara omurwere	Potatoes are grown in highland areas
bufuuhi	Jealousy
ekirahure	Sw.1) spectacles. 2) glasses
omuntu amaju; amaju akagamllteerereza omukaju aka akaba atamkusobora kutaahamu atatiize maju; akaju kafimzire nuko kaamumuteerezeseze amaju	To kneel before a person; He made him kneel before him/her when entering into a small but which he could not enter without kneeling; It was lhe small hut that made him kneel before him
ebitime	Small piece of meats
enengere ehimba emigugu ekuremera	The wheelbarrow carries heavy loads
isebo obu yafiire bakataabaanira omubiikaro ebitali bimu; okufa kwa isebo kuka bataabaniza	When their father died, they scattered in different places; The death of their father made them scatter
oburegete	Small packets
entulirra	Self-sown potatoes
kujara	To spread out
ebigene	Jokes
fumbasa	To clasp
akamulehesa habw 'okumutaamtwrra orugoye rwe	He/she fined him/her tearing for his cloth
bihana	Dyspepsia pains
taata	. My father, reply to a call, term of respect
ekirali	Wild
titima	To be hard and black in center (plantains)
entuutu	Cape berries goose
ebijoojo	banana Fresh tree sheaths
tutumbuka	To be bruised, have lumps on thebody,havescabies
akaswerwa amabeere nigafukama kugwa	She got married at the age of years, 16 when her breasts were just begin ing to grow
naaganya kujagajagira omubantu	He/ she is troubled when he/she thinks of awkwardly among the people
Vv vanjiri	E-, 11., cl.9,, gospel
esama	To open the mouth
ekihooya	Wound, sore
amacande	Sunflower)
jwahuka	To hurry, hasten, be eager, willing, hospitable
bwakaiso	Witness,testimony, evidence
eturumbwijura	To lazy, be dawdle
obujugo	Pen covers
faafaaniza	To throw about, give away, waste
enju ye abafundi bakagitm1daaliza ebiro bisatu	Builders took three days to spread cement on the floor of his house
ebikururuzo	**track, trail**s
ebirahure	Sw.1) spectacles. 2) glasseses
nitutaabataabanira omunsi omw 'iguru tuliiteekaana	We are searching for help here and there without success on earth, but we shall search no more in heaven
kwaka	:lust for sexes
tokomoka	To make that will disturb one, disappear from sight
ekikere	Frog, toad
enzaarwa	Home-born, native, original
ebikoori	Eye blows
omwirima	Complete darkness
akasisira	:a small hut
kubazisa ekiniga	Speak loudly with anger
dooba	To be stripped
ekikopo	Cup: a trophy
tunuurra	To gaze at, behold
orwezo	Manure
enkoko zalika amahuli bulikiro	The chicken lays eggs every day
tooliika	To collect and put together things, worn-out patch old clothes
toora	To dress grandly
ekisanku	Dry cow dung
embambagya	Smart, clever person
juma	To scold. Revile, abuse, blaspheme
tandama	To astride,kneel with legs apart
jagaata	To be hairy, be shaggy
fa	To die, be destroyed, useless become
birezi	Secretion eyes
empuunisa	Nasal sounds
tabatabuka	To get worse, spread (sores)
ekisweko	Blister
tuguojuka	To be squashed
tamika	To put into mouth of (another)
bwarangasa	Atmosphere
jwara ekiteteei ekirailr ire otaija kufuurra abantu; omuzaire we akamu j uuzaamu on1goye orutasemeriire k11jwarwa	Dress descently lest you show your private parts to people; Her parent her take off a dress which was not good for her to put on
okusesira ebirimwa amaizi goruseke kiyambaho ebirimwa kukura omukasumi ke'kyanda	Irrigation helps crops grow in dry season
emboijana	A friendless person
ebisurugu	Groundnut husks
jabagira	To seethe. bubble, Jabajabuka
juna	To rescue, save, help, succour
enkaanaana enkaina	Flowers donkey
akahoiho	A small moth
dundumuka	To grow very quickly
amaato	Boats
akatokoora	Omuntu ow 'embabazi yamutokoora, he got a foreign body into his eye and some kind person took it out from it
buhumbe	Multitude, crowd; delicacy
bunihe	Satisfaction,repletion
tungurruuka	To come, unstring or come off unthreaded, a rope or stick
entandikiro	Beginning, origin
jaruka	To be (when lively intoxicated)
cunduka	Be corpulent
tengeerra	To exclaim, exaggerate, overpraise (supposed to bring bad luck), abandi obantu bakora obu ekintu kinmgi tibagonza kubatengeerra, some people do not want be to over praised when do something good
enyampimpina	Chameleons
omuntu asisikaire enda aturukya orwoya rubi; akanga kuruga omwofiisi ye yayeta poliisi yamuturukya	One with a contaminated stomach brings out bad air; Be/she refused to come out of his/her office consequently be/she called the police which took him/ her out
bakura	To seize on, catch
abonaaho	Immediately, at once
obuhuna	Silence due to
teka	To be level, straight. Teke, e-, n.cl.9,{pl. Nil)
esojo	Spear grass (Heteropogon contortus)
toroogereza	To defile, make sex with an immature girl, of a bull serve a calf which is not yet ready for mating
banza osambuu"e omukeeka ohike eldikaro gutemiiremu nukwo oguterekereze; ob oruka omukeeka otagumize enkindo ogutemya; tali niinyowe atemeze omukeeka gwawe; t. ekiteega; naaseerra aw'okumwemere emifiye; enjoka ekamutemera omum11siri naalima; abasaija emiti bagitemeseze e11de11111; ayatemerwe enjoka atiina omunya	Unravel the mat first up to the spot where it started going and crooked then start putting it straight; When you weave a mat without firmly fixing the palm leaves it goes crooked; Gutemiibwe omukazi ayaba naaguruka, it is not f who made your mat crooked, it is the woman who has been weaving it. Tema, ku -, oku-, v.tr; Bite the leg; Ekuzire muno, she is looking for someone to cut down her trees as they have over grown; The snake bit her while in the garden digging; The men used an axe to fell the trees; He/ she that was once bitten by a snake will run away from a lizard
bisoodo	Fowls' dung, birds' droppings
amasasaazi	Sparks
amaarwa	:beer: an alcoholic drink
bufuodaano	Suffocation, stifling,asphyx
amatu	Ears
kwagura	To scratch the body
etawaaza	See: ETABAAZA
ezinguurra	To unwind oneself
juumib	To tum upside down
foototora	To defecate, void feaces anonymously
bicwereriirwe	Invited thing
akahuna	A state of confusion
jubuka	To be free of soap and dirt after being rinsed inclean water (cloth). J
buzindaazi	Hoarseness
ekiro kyo'kutemba mwiguru	Ascension Day
ebilaaya	Irish potatos
aktindinda	Small snail
akacancabari	old Rags:an torn cloth
entembarusaka	A type of potatoes
ensongore	A male dog
birikiirra	Accuse, tell tales about
akasumi	Time, season
engoma	Drum, throne
ebigunguru	Round plastic jerrycans
amanduguya	Mumps
jumbinva	To be engaged to (a woman).
enswiga	Black nightshade
emparangani	Quarrelsome person
kwimukya	To lift up, raise
taaruuka	To walk aimlessly (as one in despair), wonder about
ekikayaabu	Fish: Salted fish
ekinaabiro	Bathroom
bihaarro	(used only inpl.fonn)
ensazi	Become very exhausted
Ekcndura	To gird oneself tightly
buliisa	Work of ashepherd; pastorate
ekiromba	I protruding navel
jabiza	, to be excited
ebisombera	Very large baskets
Cukanaho	Get out
bembeka	Walk on heels
tunduka	To protrude, stick out
ekibero	Thigh, lap
ekisonko	Sea shell
ebyemo	Physical statures
amaligisa	Over doing, exaggeration
cambaitu	To shake about, spill
jegemera	To totter
okukama kukorebya emirundi ebiri omu kiro	Milking is done twice a day
obugenyi abuteekaniriize omutabani arogire Bulaaya; akagenda kuteekanizisa Rwakijuma obugenyi bw'omutabani	He/she bas prepared a feast for his son who has returned from Europe; He/she went to help Rwakijuma prepare a feast for his son
ekizaaiiiro/ ekisaaru	Swamp, stream, river
bukamuje	Squirrels
obunyuunyarume	eaten by goatses
ekyoroni	Pit latrine
bunanuki	Foreg
diini	Religion
emberenge	Dried maize grains
ebinyampo	Passing air, a farts
ekibbaati	An old iron sheet
tabaijuka	To trip up, stumble, save oneself by running a few paces.
ekisindikwa	Turf, sod
ebibazo	Sentence: a complete statements
endoboro/ensahu	A packet
bugumba	Barrenness, sterility
bugana	At liberty
nitugesa ebicoli kiro kinu	We are harvesting maize today
kwinganiza	To level, flat
ebijaguzo	Festivity, celebrations
ebinyaanyindo	manner of speech
twekera	To to, send to take to, carry
Ekuma	sit To nicely
tagaizira	To mock, speak sarcastically to
oburo babukozesa okukora tonto	Millet is used to make local beer
Tabaarukya Tabaaza	To welcome home a person from battle or from a long distance To make to go far
esiikiriza	To coveroneself, camouflage
ekigono	The act of snoring
tontera	Dive descend down,
amagun1; e11yama y'ekisoro bagitambuurra omukisaka; enyama y'ekisoro ky'omukisaka etamburwa hali abo bonka abagihiigire	Stride; Meat from the carcass of an animal killed by bunters is distributed while the hunters are in the bush; Meat of a hunted animal is shared only among those who participated in the bunt
cweka	To break
cuucuucu	Too much smell
budomadoma	To folly
enkenyera	Groaning, discontent; pain, ache
buhangirizi	Slander
tega	I
teeka	To set into small heaps, measure out (food, etc.)
ekisinjo	Rage: violent uncontrolled anger
jaagira	To waddle, straddle, walk with legs wide open due to pain
emburara	JaraguÃ¡ (Hyparrhenia rufa)
atugika omutongi omunyaibanja ou arukwerengeerra	A creditor forcibly demands payment from a debtor lie/she looks down upon
akatale	Market
emboro	Penises
ekirumiko	A vessel cupping- hoi
ebyohyo	Temptations
bunyagi	Plunder, violence, rapine
bunyuunyuguzi	Foreg
omwisiki anyakutoroogerezi ibwe obu atwara enda olmzaara kwe kutuntuza abazaire be	When an immature girl getspregnan t, her parents get worried about her delivery. Toroogo, e-, n. Cl.9
nyineeka aJemberiirwe nuwe ogu ow'omusaija mugenzi we aihireho mulcazi we	It is the bead of the house that is held with contempt that is deprived his of wife by another man
bwa	To speak openly
mabingo	Young reed
Enaanaasi	Pineapple
byeyererwa	Find no one in
ensoigo	Honey guide bird
Bukama	Kingdom
Jura	To regret, yearn for, be home-sick
obutamanya butabaaza araafa; atabaazibwa omukama abantu baingi muno	Ignorance makes go one for a war; A King is buried very by many people
ekinyamakeka	Civet-ca
ekimeeri	Friendship without blood- brotherhood
embogo	Buffalo
erende	Spoilt beer or porridge
buturukaizooba	The East
akasinga lwbwokuba akaba aina arukumutongoniirra; akamutonganiriirra omukooti enkuru; atonga11iriin1•e abato11ga11irizi basatu; Bakatutanga kuto11gyatongya ebintu bingi obu turaabaga nitusaba; ekizina kyabo kikaba kiri kinmgi f..yonka kikaburwa kunmgi; bagamba bugamba ebigambo ha kintu; abazim abataina mutongerezi basaba w 'okubatongereerra; ekizina kitatongeriirwe tikyoleka kunmgi ekigendererwa kyakyo	He/she was able to win the case because he/she had someone pleading for him/her; He/she pleaded for him/her in I.he High court; Three pleaded him/her. Tongatongya, oku-, oku-, v.i; We were advised not to utter many words when praying. Tongeerra ku-, oku-, v.tr. & v.i; Their song was nice but it lacked a soloist· omukiikaro ky 'okuzina abantu aband; Instead of some other people only recite words about something; Singers who do not have a soloist will hire one to come and lead them in the A song without a soloistdoes not its aimclearly
akaba naagya kuhandiika ekalaamu yamutaisuka yagwa; akataisukira om11muhanda yain1ka yamusig a	As he/she was going to write, the pencil slipped out of his hands and fell down; He/she from escaped him/her on while the way.
ebiremba	Head- cloths
basemera	He/she is good looking
birusu	Saliva
Baraza	Monday
butogoro	Bloodpudding
omuntu atogo/ekwa obu aba naabaza ebitarula11eerana hamu	A person is incoherent if he/she speaks illogically and inconsistently
footooka	To grow soft and baby, be deflated
jaallima	To talk nonsense
okwombera kwihamu ebisaka ebtakwetagibya mumusiri	Weeding removes unwanted plants
ekikwasi	Safety pin
kubunga buli	To be always visiting
emitegano	Business, hard work
butaaho	Residence, dwelling place
ensondo	Cape of land
juurra	To appeal. Refer to, cite, quote, give evidence.
ekyemerro	Stature
tokoma	People's property is often p fire or in the sea
amaino	Tooths
emitalibaine	Problems, difficultie
empeera	Wage, pay, reward
butandwa	Unforeseen peril, accident
Endehwa	Fine
capuka	To be chipped
ebijaju	Exaggerated informations
engenzigenzi	Type of beetle
akasolya	Tip of a roof
bakafukaanira harubaju rw'ekisaaru baitu hatabeho n 'omu ayanagire mugenzi we hansi	They wrestled at the side of a river but no one threw the other down
burabo	Path, passage,way
biyaga	Addled infertile eggs
ekigene	Joke
enziramira	Python
engoto	Nape of neck
tindikuurra	Rr
tuumuuka	Ascend (smoke)
bukaya	Fierceness
ebiniga	Angers
jubura	To through pass or rinse in clean water, and then take it out in order to dry.
ekikoijo	Sugarcane
obusengijo	Sieves
boha	To fasten, tie up
abakozi ekibatuza nyenkyakara nukwo kusangwa baakora izooba litakatembere	The reason why workers set out very early to work is to see to it that by the time the sun gets high in the sky they would have gone a Iongway
ebintu	Thingses
enkukuni	Flea
bwohe	Temptation
Eganira	To leave off doing
ebikoligo	Yoke problem, obstacles
amaarwa g 'ebitooke gafuukira omubisisi; ekifaukisa amaanva nubwo obutagasi obugatunga gakyali omukiina	Plantain beer froths in the gourds where it is kept; What makes a plantain wine to froths is the heat it gets while in the hole where it is kept for fermentation
orusu; 1. obusegu; t. omutima; akeeta abanyaruganda kwija kumutondera omwana	Prepare the roof when beginning to build a round native hut; Of snake, get poison ready so that it can have it discharged; Of a child, grow up and reason as a grown up person; He invited clansmen to come and identify the child for him
ekijaguzo	Festivity, celebration
bweera	Open
Endereza	To oppress, bully, afflict
Eryato likadikira abakaba boona baatokomera omunyanja; ayayokeze enju ye nuwe yagondeze okutokomya ebintu bye; ebintu by'abantu bikira okutokomebwa omu11rro rundi enyanja	A boat and all the people aboard it in the sea; He/she that burnt her house was the one who wanted to have his property destroyed; Eating of millet meal that others can also eat
Waizikya	Ogre, monster, giant, cannibal mythical
akasekende	Shaker
toonyeerra	To drizzle. Toonyereza toorra
ekihooya kye kibaire ekirukwoma; ira amaiz1 g'enjura hkitooke rundi hamutoma; Busaho n 'omu ayamanyire ekyamutanuukiriize 11a mugenzi we	hati kitanukire buhyaka, his/her sore looked as if it was but it isnow septic. Tanukiirra ku-, oku-, v.tr; In the past ram water was tapped from a plantain or barkcloth tree; Nobody what caused the qurrel between him/her and his/her compamon
fubeera	To have second thought when you are ready to do something, e.g. Spearing
tendeka	To initiate, educate
enjoga	Water container
taiga	go To many times
janjaba	To care for, nurse, treat, attend to
ekihwijo	Fern, air freshener
okwombera	Weeding
tura	To hav intercourse sexual (with a woman) foe the first time
ebiijukyo	Memorial remembrances
tyokora	To remove with a finger (usu., ghee, butter Vaseline). '
enzige	Locust
tuutuka	To sweat, be in a perspiration
bwomeezi	Health, life, soul
akarondo	:lineage
Ecwacwana	To writhe, wag, wriggle
entoole	frog, Water person stupid
akaburwa ensaa110 y'okubutotoroza	She lacked additional flour millet to sprinkle onto the millet she was cooking so as recover to the dough that was getting too soft
taaguka	To be torn, laugh loudly
ekihihi	Cold, dull weather
amata gatahatwa ayagatahasire	Atakagatahataga, tagatahata, milk in a wooden vessel is carefully carried on open palm by a person who ever has carried it so, one who has never done so is not able to do so
amasu	Loneliness, solitude
domadoma	To become stupid, foolish
Endaade	Large, long-legged cock
Barozi	A governor
ente ziriisibya omu rwere	Cattle graze in the fields
ebisasaazi	Spark (of fire)s
to nibaririiha kukira aho; ebintu byakyo byona	Ifhis/her children take up(mats), take down (bedstead), to bad a large compound they would be mess up things; When a person kakuba ebyokulya obicumbisa omuurro loses something in his/her bed, he/she ogutarukumara, nibitirima. If you cook removes each and every item on it so food under insuffient fire, it becomes as to find it
butaweza	Blindness
doodo	Amarinthus
bitontoorro	Birds' dropping
endamya	Worship, ritual
amabingo	Reeds, elephant grass
tumbura	To exalt, speak well of
bugaajuki	Redness
amagufa gakamutunamira enaku	His/her bones protruded due to poverty. C. Form, tunamya, oku- ku-,
-Funguka obyokunywa ebyo	-dilute those drinks.
ensumbi	SW.voilence or force
bobuta	Wound,injury
taana	To be next to (separated by a boundary), border on, be adjacent, separate, take different roads
ebyeeya	Type of swamps
empuule	millet, Unground loose grain
akajaiko	Passion for roaming
bumbu ruka	To emerge undenvate
empakani	Argumentative person, rival, competitor
tetera	To give to (used of a young child)
omubazi anywire gumutahwire muno gwamumara amaani	The medecine he/ she bas taken has made him/her weak (as a result of being purged)
ebitabaraara	Guest of honours
fuka	To grow cold, blow nose
oburandaine	:inherited character or traits
naaganya kujagajagira omubantu	she is troubled when he/she thinks of walking awkwardly among the people
obucancabari	Rags:an old torn cloths
empande	Bambara nuts
kwaralikira	To worry, be anxious
buhanga	Distant country
jamajama	To jabber, babble
bijaga	Severe chronic syphilis
Emanya	To be selfish, vain
ebirooto	Dreams
obu yaboine omusango okugurukwija kum11si11ga ebigambo yabiterukaho	When he realized·that the case would end up against him/her, he/ she decided to away from it
kondomu	Small ball, condom
Ebaarra	To be cautious
Egemuliza	To one's food
bwabwanura	To crunch
cebaceba	To trot
amaarwa g 'ebitooke gafuukira omubisisi; ekifaukisa amaanva nubwo obutagasi gakyali obugatunga omukiina	Plantain beer froths in the gourds where it is kept; What makes a plantain wine to froths is the heat it gets while in the hole where it is kept for fermentation
omwinvarro akarugamu atakategere; t. enkarwa; ekiraba haigunt bakitegera hansi; ebisoro eby'amaani muno babitegesa ornuliiti	Akategera omuka, he/she left hospital before he/she was fully recovered from illness, he/she was fully recovered after he/she had gone home. Tega, ku-, oku -, v.tr; Trip up in wrestling; A flying object is trapped from the ground: c. Form, tegesa, k11-, oku-; Strong animals are trapped with a lasso made of sisal
engoye	Clothes
obuzingo	Chronics
omutego bakaba bategere	Omunyoro akagubateguniza, the chief made them unset the trap which they bad set
edebe	Pail or buckets
obu yaboine omusango okugurukwija kum11si11ga ebigambo yabiterukaho	When he realized·that the case would end up against him/her, he/ she decided to slip away from it
buguniiriza	Stubbornness
obuyaye	:sarcasms
okutwara itaka kisisa emisiri	Soil erosion destroys farmland
tuura	To take off a load (from ones head or another), omuntu ob11 aba atarukusobora kwetuura wenka ekintu ayetwekere bamutuura
itaka erya harusa rw 'enguudo enjura nyingi obu egwa lityoka, Ligwa omuruguudo	The soil at the banks of a road slide to the road when it rains heavily
esiga	To trust, rely on
fuuha	To blow, snort
oburo obubaire nibusisa nk 'oburaasiriira hati butumburukire	The millet crop that appeared stunted is now flourishing
ekinyumyo	Festivity or feast
amiirra	call To a bud
obwenju bwa sukaali babut11gira omubuhunga bwa muhogo nukwo battmgemu ekibumbe ky 'olatcumbamu kabaragara	Sweet banana is kneaded together with cassava flour in order toget the dough omofwhich pancakes are made
ebisengeijo	Strainers
Ekubiriza	Earnestly entreat
booma	Government ground or station
bulibweoguzi	Corruption
amanyaali	Semen
tulima oburo omumisiri yaitu	We grow millet in our fields
ebiju	Bird's nests
tutunda/tukaguza ebitooke buli wiiki	We sell bananas every week
buzaarwa	Parentage, birthplace
bicoboyo	Young beans
bikoora	Leaves, runners, dry tobaco
buruguta	Roar, sound
tagiza	To be joyful, be happily busy, dash about excitedly
amagaruka	Return journey
empekenyu	Gristle, cartilage
buduupe	Cunning,craftiness
bwinazi	Poverty
e zijwabiriire ebisajwa; nfwahire kubahaga ebiragiro bya11ge nimubicwa; abagenzi bajwal11ra muno hakutemba ensozi; abaana bato bajwahibwa kumara obusumi bwingi baikaliire	His/her fingers are smeared with fat all over. Jwa ha, ku-, oku -, v.i; I am tired of giving you my rules of which you always break; Travellers get more tired on climbing hills; Young children get tired when they sit for a long time
Emwa	To shave oneself
obu akaba naamara bwe mb '0mukama akataahya enyana; t.	When he ended his service at the palace he received a heifer from the To marry
ebihimba bye asangire babitongoiremu ebibaire byengere byona; Byakunaga akarwanisa Byenkya habw 'okutongora we; mukazi abaatongoire bye ebihimba bakabitongoorra omunjura eyasiibire neegwa	She found that her all ripe beans been had picked; Byakunaga fought Byenkya for dancing with his wife; Those who picked her ripest beans did so when it rained throughout the day
enkojo	Blemishes
ebisegu	Sexual urges
kukaba kufaabbiina kw 'amani kwija kumara enju enu; Mugume akaba nafaabbiinisibwa enju ye obu yahoire yahuumura	It was real hard work finishing this house; It was the construction of his house that Mugume work hard, he has come to rest after finishing it
ensogasoga	Castor oil plant
Ebumbiirra	To wrap oneself up
abarongo	Identical twins
ebitumbwe	**unripe fruit.**s
kulima mporampora	To over lightly
ekijunzire	Rotten thing
amananu/amazima	Truth
bwikazi	Foreg
emyempanko	Pride
weebumbe	Sensitive plant when touched it its collects leaves
tyeruka	To break out (rash), sprout, grow up close together (e.g. Mushrooms)
bubaizi	Carpentry, joinery
eduuka	Shop, business premise
amalere	Fern
taba	To join, sew together
omwegenderezeege obu araabaga noobaza nawe	-that man is sullen, you should be careful when talking to him
ekirangirro	Proclamation,anouncement
buryo	Justice, reason
tanaka	To vomit, be sick
-amabingo bakozeseze ekiaali bakagafoobera kukikozesa kurungi.	-the reeds which they used for the King's enclosure were interlaced so as to make it look smart.
biisopu	Bishop
obu yasangire gaatara amahe haka ye aho yamanya; enjuye akagitalilwa omufundi ayayegesiibwe omu byamaju	a/i Nkooku omukobi, it is when he found soldiers marshaled around bis home, that he realized he was in danger; The site for his house was measured by a trained builder
abantu abamu batona amajugaabo n 'inoni; obu oba otaina rangi y' Ekijungu noosobora kutonesa inoni	Somepeople depict houses with chalk; If you do not have manufactured paint you can locally use mined white clay (chalk)
tarama	To be wide (e.g. Basket), be shallow
taaga	To be in great distress and need, cry out for help
enkunuukizi	Hangnail
tooza	cause To to be sharp
ebihwijo	Fern, air fresheners
akakekeeyo/ akasenginjo	A sieve
engumba	Childishnesses
tabanganiza	To mix together
buturumuki	Sloth,slackness
ekirungo	Seasoning, spice
ekirale	A trail of
bibiri n'emu	Two hundred and one
orubaa/e ob11 ruteera ebitooke ebyanire rubititimya	When hailstone hits newly produced plantains it makes them hard and black at their center
Endagaano	Agreement, covenant, bargain
omwani kya sente ekyomugaso muno mu uganda	Coffee is an important cash crop in Uganda
obutunguru	Onions
enkoko zirya esingo ne'bihuka	Chickens eat grain and insects
jundeera	To smouJder, glow
