muhogo	throat
amabere ge'mbwa	the breast of a dog
amadaraka	responsibilities
amafaranga	money
makune	harvest
eraama	concealed
obutabaijuko	unforgettable
ebisoko	sources
ebikarakate	the cockroaches
esande	Sunday
amakuute	swelling
amakwenkwe	cloves
amacande	candies
amamera	plants
enyugunyu	cough
amaranga gi'zoba	painful and painful
ekitungutana	an infection
ebika bye'nkyanzi	species of lizard
amaizi aga kufuka	boiling water
amasa	water
ebisansa	number of days
amasanyarazi	electricity
amasereka	laughter
amasobe	whiskers
ebisodo	cloves
amasununu	free
amasya	flower
amaizi aga kwokya	hot water
entangatangano	congregations
amatembero	travel
amaterekero	storage facilities
amatone	the talents
kunihira	tiredness
abarongo	twins
amazina	names
nangwa	not
ibale lyo'muhendo	your precious jewelry
ekiro kyo'kutemba mwiguru	the night of your flight
asidi	acid
kasisira	shelter
obusisira	a tent
akakaikuru kamu	an adult
akakaikuru kamu	an adult
akakekeeyo/ akasenginjo	coughing or sneezing
obukekeyo/ obusenginjo	cough/ fever
akakongoijo	a cough
obukongoijo	cheating
akakonkomoko	the spider
obukokomoko	cuttlefish
akakunukizi	the coconut tree
obukunukizi	uncertainty
karandaranda	calendar
kurandaranda	coughing
akalebule	a warning
obulebule	shortness of breath
akalebulebu	uncertainty
obulebule	shortness of breath
akaleecu	our own
obuleecu	our own
akaregete	the caterpillar
oburegete	uncertainty
akaleju	the leaf
obuleju	coughing
akalenge	the sword
obulenge	leprosy
edebe	see also
edebe	see also
akamaganda	brothers and sisters
obumaganda	selfishness
akamanyiso/akarorwaho	the notice/indication
obumanyiso/oburorwaho	signs/symptoms
kame	cold
obume	uncertainty
akameeza	a table
obumeza	sleeping
akamogo	a caterpillar
obumogo	unity
akanenero	a prophecy
obunenero	weight
akaniini	the acorn
obuniini	height
akanwa	mouth
obunwa	greed
akanyamankogoto	the swallow
obunyamankogoto	a lack of self-confidence
akanyamuryaine	an antelope
obunyamuryaine	uncertainty
ekika kyakatuzi	a type of caterpillar
ebika byo'butuzi	the type of flower
akatuzi ko'bwera	not knowing where it is coming from
obutuzi byo'bwera	when you're young
akanyuunyambuzi	a wanderer
obunyuunyambuzi	disruptive
kondomu	a condom
kuondomu	to make a choice
akapimpina	short-haired
enyampimpina	the short-tailed shrew
ekisirani	a spider
akaronkoronko	the tortoise
oburonkoronko	tooth decay
akarorwaho	he/she/it has been
oburorwaho	what is it?
akarumanfuuzi	the short-beaked echidna
oburumanfuuzi	unreasonableness
akahumuza	refreshing
obuhumuza	a source of refreshment
akati kisoke	in the middle
obuti bwisoke	a tree that grows
akasarre	leftover
obusarre	to be discouraged
akasasamaro	smallpox
obusasamaro	disruption
akasekende	small
obusekende	laughter
esigo	seed
esigo	seed
omwirima	the darkness
omwirima	the darkness
akasiisira	a tent
obusiisira	camping
akasondaburo	the spine
obusondaburo	body language
akasolya	roof
obusolya	roof
akasonga	an indication
obusonga	weight
akasoono	small
obusoono	the shoulders
akasoonooki	a shell
obusoonooki	disorders
akasumi	flower
obusumi	mythology
akasungu	anger
obusungu	anger
akaswa	shyness
obuswa	inheritance
akataama	caterpillar
obutaama	tooth decay
akatale	market
obutale	the markets
akatambaara	a piece of cloth
obutambaara	clothing
akatiiko	committee
obutiiko	group
akatimba	the net
obutimba	the net
akatongo	small
obutongo	small
akatoonyezi	the seeker
obutoonyezi	searching
akatunda	he sells
obutunda	to sell
akatunguru	garlic
obutunguru	smallpox
akatuzi	ears
obutuzi byo'bwera	when you're young
akawamuje	a person with a disability
obuwamuje	uncertainty
akazingo	the scroll
obuzingo	the scrolls
akamayiro	a mile
obumanyiro	knowledge
alifabeti	the alphabet
alipoota	report
amaani	power
amabaale	bullets
amabega	the back
amabeho	the weather
amabingo	toothbrushes
nyamunura	rescue
amacande	candies
entungo	a treasure
amacu	clouds
amacumu	pain
amacunda	flocks
amacwacwa	cloves
amacwanta	toothbrushes
amadaara/amatembero	tours/trips
amadinda	the eyelids
amaiso	the eyes
amaduli	flower
amaazi	eggs
obugumangaine	endurance
amagana	a hundred
amaganga/enkali ye'nte	medical/environmental
amaganya	anxiety
obwomezi	health
ensigo ezakya muno	new seeds
amagaruka	returns
amagenda	going away
amagesa	health
amagezi	wisdom
amagoba	profits
amagosi	throat
amaguli	footwear
amahanga	the nations
amahano	discomfort
amahembe	horns
amahuli	flower
amahunge	ears of corn
amakuru	news
amahurru	whirlwinds
amairu	cloudiness
amaiso	the eyes
amajabali	rocks
isoke/ ekyoya	wool
ahya	new
kutimba	singing
amajenjeka	uncertainty
amajooba	cuttlefish
amaka	family
amakamo	coughing
amakara	coal
akigarukwamu	in the accompanying article
amakebe	the seagulls
amakendu	the lily of the valley
amakerre	the marble
amakooti	coats
amakune	cloves
amakuura	old age
amakuru	news
amakutu	ears
amakuuma	protective
amakuumuule	healing
amalebe	ears
amalere	flower
amaligisa	blessing
amaryo	the right
amambukiro	flowering plants
kujwaha	self-sufficiency
kuraranja	playful
amanambo	mouthfuls
amananu/amazima	accurate/true
amanda	coal
amanduguya	toothbrushes
amankwaha	toothbrushes
amanogo	small
amanono	small
amanyaali	toothpicks
obufuki	weeds
amanzamba	flowering plants
ebyenda	the intestines
amaraka	number
amarali	what is it?
angaarra	he/she/it has been
kwangana	self-loathing
kuterangana	gathering together
kwangasana	to get along
kwanguha	easy
kwanguhya	lighthearted
kwomesereza	exercise
kwana	sleep
kujara	coughing
anjuka	he/she/it is recovering
anjura	he/she/it opened
kujingajinga	being overweight or obese
kusukura	cleaning
kujokoza	coughing
kwinganiza	to think
kujanjaza	healing
kwasama	illness
kuhonda	weakness
kwatura	to settle down
amaranga	cloves
emyempanko	the gills
amarunga	cloves
amasamba	forests
amakamba	cuttlefish
amasanga	moose
amasanyu	happiness
amasasaazi	the afternoon
amasasi	bullets
amasirimuko	smallpox
amasonsolya	the ceiling
amasu	the eyes
amasumi	mosquitoes
amasurubbu	small intestine
amaswale	squirrels
amata	milk
amatandiiko	headings
amatanga/ebiraka	flowering plants
amatangatangano	conflicts of interest
amatembero	travel
amatu	ears
amatu g'abakaikuru	the ears of the elderly
amazaarwa	number of births
amazi	water
amaziga	tears
amazima	the truth
amoogi	the moose
amooya	the wind
ange	the angel
ekigarukyamu	what's wrong?
arukwiragura	he predicts
kyawe	your own
kwata mungaro	holding a hand
abanyabuzale	politicians
kulima mporampora	cultivation of potatoes
abazini	workers
kirungi	good
kubazisa ekiniga	harboring resentment
baamya	they swallowed
bachwezi	the moon
bagaya	greedy
abalimisa no'bulisa	farmers and ranchers
bahima	they are
bahuma	they come out
bakisaagya	to get along
bakura	growing
kwatwa omuro	burned
Baraza	The Barbarians
embalira	accounting
kusemererwa	happiness
bambatara	clothing
bambataza	baptizing
kuhikiriza	reaching out
kwimukya	beware
banganira	disagree
bankizaki	they gave me
bara	time
Barozi	The Pharisees
batiza	fearful
baza	to come
baziira	they're
bbaama	father-in-law
bbaamuura	his father
bbaamya	a witness
ebaasa	heal
bbamu	firearm
bbamuka/kugwamu	rising/falling
banyamalindwa	protected
bbani/oruhu	who/who
bbanka	a bank
bbanura	to explain
bbaraza	mother-in-law
bbaruka	Baruk
bbasitooro	heavy loads
bbeeru	white
bbeeseni/bafu	buried
bbinika	whip
bbomba	a bomb
kukaba	coughing
empanga	twins
bbuukura	the flower
bbwarruza	coughing
beene	family
begebege	self-control
bembeka	be honest
beregesa	to explain
bibugo	the kidneys
bicoboyo	the results
bicucuke	to be shallow
bicwe	murdered
bicwereriirwe	to be fixed
bifu	mistakes
bifunjo	mushrooms
bigene	the way
bigenge	leprosy
bigesera	trials
bigesero	exaggeration
bigondonka	to follow
bigono	toothbrushes
bigoye	difficult
biguuna	toothbrush
bihaarro	other
bihana	to punish
bibaniirro	barriers
bihunda	butterflies
bihwa	wings
biihabiiha	unhealthy
bire	clouds
biihirwa	they're happy
biikiza	darkened
bijaga	learning
bijwajwa	to be worn
bijwenge	to fall
bika	what
bikaiga	to learn
bikambi	camps
bikaogaara	unnecessary
bikangaarra	scratches
bikaoja	what to expect
bikanka	selfishness
bikeerranwa	examples
biko	help
bikoora	they work
bikoorro	the shoulders
bikuti	white
Bikwebe	Selfishness
bikya	early morning
brmira	brmyra
bimwemwe	happiness
bimira	swallowed
binda	binda
binkuti	bushes
binkwabwa	food
bintu	things
binyansi	natural disasters
binyoobwa	beetles
binzaah	well, yeah.
biraapara	will disappear
birerya	food
birezi	snow
biri	are
biriibwa	food
biriirra	they will cry
birika	family
birikiirra	will be fulfilled
biro	time
oturo	sleeping
birungo	spices
birusu	feathers
bisa	to be
mabingo	the bells
bisajwa	need
bisaka	forests
bisanku	your feet
biseereere	beetles
bisengere	to pray
bisi	bus
bisonde	the natural world
bisokoro	family
bisoodo	toothbrushes
bisuba	toothbrushes
Bisuma	Trees
bisunga	flowering plants
bisuni	birds of prey
bisiyaga	homosexuals
bitaigi	figs
bitanaki	five
bitanta	cattle
bitaarra	to prevent
bitege	to understand
bitengo	costs
bitontoorro	smallpox
biyaga	storms
biyogoma	they shudder
boba	are they
boha	alone
boboorra	mother-in-law
bohorrooka	coughing
kunyeta	tiredness
boigora	they struggle
bomwiboolezo	examples
bona	See also
bonabona	suffer
bonabonesa	painful
bondeerra	pray for me
bonekera	appearance
bonesa	show
boobeera	they live
boroogo	mother-in-law
boyera	white
boyerangana	clinging to each other
boyesa	to try
bubaagi	beard
bubaizi	uncertainty
bubaliirizi	self-esteem
bubambaazi	shellfish
bubbaani	incense
bubi	unhealthy
bubitihi	shortness of breath
buboijana	coughing
bubu	today
bubuura	uncertainty
buceke	a smile
buculeezi	coughing
bucwangya	jealousy
bucwekaih	secrecy
buda	Buddhism
budaida	Buddhism
budomadoma	uncertainty
budongo	clay
budoolidooli	tooth decay
buduupe	smallpox
buduuzi	shellfish
bufaakatr	coughing
bufu	death
bufuoda	itching
bufuodaano	disagreement
bufuuhi	shortness of breath
bugaajuki	sleeplessness
bugabe	the kingdom
bugabi	generosity
bugabuga	city
bugambirambere	to make progress
bugana	discouragement
buganiza	thinking
buga.njaine	newspaper
buganjani	what is love?
buganyizi	betrayal
buganzi	affection
bugeoyi	coughing
bugeregere	be close
bugizi	to be shrewd
bugobya	greed
bugoga	tooth decay
bugoigo	coughing
bugole	marriage
bugoorra	coughing
kusetura	coughing
bugumangani	uncertainty
bugumba	bone marrow
bubudamo	shelter
bugumizo	comforting
buguniiriza	is encouraging
bugunule	open it
bugurusi	grey
buguta	the city
buguuda	greed
buguzi	high
bugwagwa	worms
bugweterano	disagreement
bugwetwa	to be cut
busa	free of charge
buhaba	being overweight or obese
buhambirize	lead
buhamizo	assurance
bubaodiike	to make
buhanga	skill
bubangaazi	pain
buhangami	creativity
buhangirizi	forecast
buhango	the tradition
buhangwa	nature
buhara	unhealthy
buhate	to be
buheereza	the ministry
buhemu	treachery
bubendeke	to run away
buhere	wholly
bu hiire	to be happy
buhoogozi	headache
buhoole	sluggishness
buhulizi	hearing
buhumbe	selfishness
buhu nga	what
bubungu	mould
bobuta	need
buhuuhirizi	shortness of breath
bubwite	call
buhya	new
buhyaka	lightning
bujagaali	coughing
bujojo	to-morrow
bujonjo	coughing
bujulizi	evidence
bujunaanizibwa	responsibilities
bujune	to move
bujwahi	jealousy
Bukama	The Kingdom
bukanga	fear
bukatuzi	uncertainty
bukaya	to be
bukazi	harshness
buke	the book
bukeeto	small
bukene	poverty
bukerembe	peacefully
bukigi	the sun
bukiioiiki	day to day
bukiiouuki	the day
bukoonyezi	searching
bukooto	fever
Bukristaayo	Christianity
bukuku	book
bukungani	harvest
bukungu	wealth
bukorungutaniza	uncertainty
bukwasizo/buyamba	help/help
bukwataoe	to touch
bukwatwa	being arrested
bukwenda	to go
bukyabukya	early in the morning
Buraya	Europe
bulebule	high blood pressure
buleegi	shortness of breath
bulehe	what time is it?
bulemeezi	difficulty
bulemi	farming
bulemu	disability
bulengerezi	uncertainty
bulengi	naturalness
yamba abaana	help children
burryegaitaho	take care of yourself
buliba	will be
bulibweoguzi	unreasonableness
buliiririzi	sleeping
buliro	sleep
buliisa	feed
burlisizo	burlisizo
bulimi	farming
bulimi	farming
bulindwa	protection
bulingiri	clinging
bulinzi	self-preservation
buryo	how
bumanyi	knowledge
bumanyiizi	annoyance
bumanzi	water
butwa	to give
bumba	clay
bumbaataniza	uncertainty
bumbaatira	the breech
bumbaatiza	baptize
bumburu	coughing
bumbu ruka	flower
bumomi	health
byomu	each other
bulemu	disability
bumwemwe	happiness
bunabbi	prophecy
bunaku	one day
bunanasi	unknown
bunanu	selfishness
bunanuki	the sense of smell
bunda arra	common
bundaaza	help me
bundiika	to build
bune	four
Bungereza	England
bungurya	food
bunihe	to be generous
bunkohoob	uncertainty
bunkuli	commonly
bunoobi	this
buntamantama	uncertainty
buotu	uncertainty
bunu	one
bunuliirizi	self-confidence
bunuzi	uncertainty
bunwekinweki	mystery
bunyaata	being overweight or obese
bunyagi	treachery
bunyagwa	uncertainty
buoyakantu	uncertainty
bunyamarumbu	unreasonableness
bunyamibwa	discouraged
bunyankomo	uncertainty
bunyansi	uncertainty
bunyanzigwa	being overwhelmed
bunyaruguru	north
bunyeete	small
bunyigi	the door
bunyuunyuguzi	being slanderous
bunywani	friendship
bunyigitiro	pressure
bunyuunyambuzi	corruption
bunyu unyuguru,	the upper lip,
buraara	sleeping
buraaro	shelter
burabo	a gift
buraguzi	witchcraft
buraiha	how long
buraira	swearing an oath
bugumya	comforting
burangara	the heart
burangura	predicting
buro	bread
burofu	softness
bu rogo	as in
buronde	to follow
burubatiro	a shelter
burugo	home
buruguta	more than
burukwera	to be discouraged
burumi	pain
burumuka	run away
burundu	completely
burungi	beauty
burungurungu	loneliness
burungutana	more than
bururumi	pain
buruutura	toothbrush
burwa	whiteness
burwaire	illness
busumi	shrimp
busumiikiranizo	the concept of
busuubuzi	business
busuuhuuki	coughing
buswale	shyness
busuuru	yellow fever
busuuti	shorts
buswagirizi	support
buswahirizi	selfishness
buta	to be
butaahi	shortness of breath
butaaho	to be cautious
butaamanya	ignorance
butagali	unwillingness
butagasi	unreasonableness
butaweza	unsuccessful
kukaba	coughing
butaikya	early in the morning
bu taito,	like a scorpion,
butale	the marketplace
butamilzi	tourism
butandikiro	the beginning
butandwa	to spread
butanwa	unusual
butasi	a spy
butatara	light
butebezi	well-being
buteeraniro	assembly
buteero	attack
buteerre	be calm
butembane	to compete with each other
butende	peace
buteodebeki	sleeplessness
butentebeke	weakness
butere	slowly
butida	to give up
butigi	small
butiime	to be grateful
butiini	figs
butika	to lie down
buto	childhood
butogoro	uncertainty
butooganiro	uncertainty
botumwa	the mission
buturumuki	uncertainty
butungi	wealth
buturukaizooba	from the sun
butuzi	weary
butweke	to be alone
butweki	clear
buura	to be
buurra/ zubura	flowering
buurru	coldness
buuta	throw away
buutabu	uncertainty
buutikira	sleeping
buya	to be
buyambi	help
buyanja	the sea
buyondo	coughing
buyungiro	unity
buza	to ask
buzaale	fertility
buzaana	slavery
buzaarwa	to be born
buzigu	uncertainty
buzimba	is upbuilding
buzimbira	builds up
buzindaazi	uncertainty
bwabwanura	it's not
bwagaarra	the night
bwagura	it has bought
bwahuzi	knowledge
bwakabiri	the second
bwakaiso	warnings
bwakyo	itself
bwalingi	how much
bwamata	milk
bwamba	to tell
bwanda	widespread
bwanga	height
bwangi	number
bwanyakatagara	obviously
bwarabwara	to wear out
bwarangasa	what happened to me
bwarubanga	when it was hard
bwate	how
bwati	the box
bwatuka	where did it come from?
bweculiko	the saddle
bwecumi	decimation
bweewiso	self-confidence
bweganyi	selfishness
bweganyirizi	resistance
bwegege	self-control
bwegendereza	be cautious
bwegesa	to teach
bwegesibwa	being taught
bwcgombi	greed
bwebinduurro	translations
bwekambi	camp
bwckanasi	Christmas
bwekiiko	committee
bwckobi	to keep
bwekubizo	a promise
bwekuniki	selfishness
bwenda	need
bwenderezi	caution
bwenugi	immorality
bwerebwere	be self-sufficient
bwereme	uncertainty
bweremera	self-control
bwerengerezi	uncertainty
bwerindwa	safety
bwesaganirizo	self-esteem
bwesengeze	be self-sufficient
bwesereko	self-experimentation
bwesige	self-confidence
bwesigwa	faithfulness
bwesumbo	pride
bwesumikiri	relaxation
bwesungi	selfishness
bwezigooro	weight
bwibi/busuma	stealing
bwigamiro/ buyamba	support
bwigamo	the lesson
Bwigara	Self-confidence
bwigara	beating
bwigurumba	the butterfly
bwiguu	high blood pressure
bwihulebwona	uncertainty
bwijukuru	old age
bwikaro	place of residence
bwikazi	widowhood
bwikizo	a sign
bwiko	council
Bwikya	Selfishness
bwimi	selfishness
bwina	selfishness
bwinazi	Nazism
bwingi	quantity
bwingira	get in
bwinike	Get to sleep
bwiru	coldness
bwirukiro	running away
bwisi	wheat
bwisiki	whiskers
bwogi	toothbrush
bwogo	the brain
bwojo	coughing
bwoki	the nose
bwomangane	how to communicate
bwomeezi	health
bwomi	health
bwomere	to be strong
bwomuntu	human nature
bwongo	the brain
bwonjooka	is solved
bworobi	unemployment
bworoozi	coughing
bwotere	to be
bwoya	feathers
bwoyooyo	the spirit
byahi	what
byakeeri	toothbrushes
byamba/buroofu	wrapped
byaoa	of marriage
byara	alcoholic beverages
byeoda	what you want
byenga	one week
byeyererwa	whispered
byobwomeezi	the means of subsistence
byokera	burning
byokurya	food
byorwaoju	what are you doing?
byoya	wool
banu	people
bandwa	being tempted
baro	their
basemera	they are
basingo	the guarantor
batembuzi	horses
bazaire	parents
bazarrabusa	they will rule
bbaasi!	the bus!
bbaibbuli	the bible
bbasitoora	picking
bbogoya	cloves
bbwa	the dog
